Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Hotel_number_reviews,Reviewer_number_reviews,Review_Score,Review,Review_Type
163 163 Marsh Wall Docklands Tower Hamlets London E14 9SJ UK,10/8/2015,7.1,Britannia International Hotel Canary Wharf, United Kingdom ,9086,6,3.3, It was dirty run down over priced poor location some of the staff were friendly and some of them acted like they didn t even want to be there I wouldn t stay again it was offered to me for free  Nothing,Bad_review
380 380 Kensington High Street Kensington and Chelsea London W14 8NL UK,5/10/2017,7.4,Hilton London Olympia, Spain ,1786,18,6.7, We were over for an exhibition where we like to use the hotel bar to wind down and they always chucked us out too early The other Hilton in Kensington didn t do this We have stayed at the Novotel many times and they have never done that either Made our exhibition experience a bore and we won t stay here next year ,Bad_review
222 222 Marylebone Road Westminster Borough London NW1 6JQ UK,2/7/2016,9.0,Landmark London, France ,1062,12,6.3, The restaurant more expensive than the famous Savoy restaurant with a low quality of service due to the poor level of some waiters and medium to poor quality of the food The swimming pool service no respect of privacy you have to be faced with intrusive visits of the woman staff in the changing room Never saw that before Inadmissible  The welcome on arrival the spacious and clean room the breakfast,Bad_review
Villarroel Villarroel 106 Eixample 08011 Barcelona Spain,6/30/2017,7.8,Acevi Villarroel, Ireland ,2251,5,4.6, The pool was a paddling pool only a few sun loungers  Rooms were clean and big enough ,Bad_review
11 11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ UK,11/13/2016,8.7,11 Cadogan Gardens, United States of America ,393,6,4.5, Our room was dark and dingey It was stiflingly hot with no a c The room was old with an ancient dark wood bed frame with chips and scuffs in the woodwork The hotel itself was ratty with torn paintings and paint falling off the woodwork Getting a snack after 11 pm was greeted with hostility in spite of their boasting 24 hour service We paid over 350 a night for substandard service and accommodation I recommend the Milestone  The concierge Richie and the breakfast Manger were delightful and welcoming The location was perfect ,Bad_review
146 146 Praed Street Westminster Borough London W2 1EE UK,10/4/2016,8.2,Hilton London Paddington, Canada ,2898,1,6.5, Employees  The location ,Bad_review
Aldwych Aldwych Westminster Borough London WC2B 4DD UK,12/8/2015,8.4,The Waldorf Hilton, United Kingdom ,1479,9,6.7, On ark all are room was not ready at 6 45pm We had to take another room as ours was not ready which was a disability room No room service the next day until 4 40 just as we were getting ready to go out for the evening  Location very good,Bad_review
2 2 Stanhope Row Park Lane Westminster Borough London W1J 7BS UK,6/23/2016,7.0,Park Lane Mews Hotel, France ,2061,1,5.0, Challenge to open the window poor quality hairdryer,Bad_review
Lancaster Lancaster Terrace Hyde Park Westminster Borough London W2 3PF UK,5/26/2016,7.0,London Elizabeth Hotel, United Kingdom ,618,1,5.4, For the amount I paid I expected a room much bigger than the one I got It could have been a bit neater too cracks on the wall etc The bathroom was also extremely small Advertising needs to be clearer next time so that the customer knows exactly what they are getting  Great location looks really good from the outside Good choice of teas and biscuits in the room and liked the hair dryer in the bathroom,Bad_review
Southampton Southampton Row Bloomsbury Camden London WC1B 4AR UK,10/4/2016,8.4,Grange Holborn Hotel, United Kingdom ,845,6,5.4, The shower leaked all over the bathroom floor meaning a towel had to be placed The screen didn t seal round the bath and screen door The bathroom and bedroom was ridiculously small The place is very dated Only the pool sold this place which we didn t use  The location was ideal,Bad_review
14 14 15 Langham Place Westminster Borough London W1B 2QS UK,12/19/2016,7.5,Saint Georges Hotel, South Africa ,2092,2,6.3, the linen was a bit old fashioned and outdated It was clean but just not what you would expect for the price and location  The location was very good and the view was beautiful ,Bad_review
163 163 Marsh Wall Docklands Tower Hamlets London E14 9SJ UK,4/5/2017,7.1,Britannia International Hotel Canary Wharf, India ,9086,2,5.0, Room was warm not sure if the A C was working I put on the fan at point 3 but I still felt room warm hot luckily I spent only couple of hours in the morning else I would have been roasted chicken,Bad_review
Piazza Piazza Duca D Aosta 4 6 Central Station 20124 Milan Italy,4/16/2016,8.8,Glam Milano, Croatia ,7371,18,4.6, 400 euros for 1 night is to expensive I had to pay 50 euros more for 2 hours late chek in the hotel is great but for this price you can stay in much more better hotels The breakfast shoud start on 6 30 I came at 7 00 but there was not a whole offfer on buffet table For price of 400 euros sorry this shold not happend,Bad_review
22 22 Portman Square Westminster Borough London W1H 7BG UK,12/11/2016,7.9,Radisson Blu Portman Hotel London, United Kingdom ,2308,1,4.6, 1 I booked pay later through booking com but had half the money of my booking taken from my account a week before the stay and was released to me on the day of my stay 2 On arrival they took the full amount plus 50pound per night that we d get back after the stay 3 Order a double room and got two single beds pushed together with different duvets 4 On checkout they then tried to charge us for room service we hadn t ordered and then tried to charge us the hotel amount again and it wasn t until we spoke to a manager that we was told the money we gave on check out was just being held So not really sure why they needed to hold money a week before we came then hold the money for the hotel plus an extra 50 per night seemed a bit odd to me just lucky we had an extra 100 pounds that we didn t need that weekend and the money for them to hold a week before arrival All in all the room and the way the hotel works is rubbish just lucky they have a good location otherwise I m not sure people would stay here  Location,Bad_review
3 3 Berkeley Street Westminster Borough London W1J 8NE UK,1/5/2016,8.0,Holiday Inn London Mayfair, United Kingdom ,1894,1,4.6, The lady at check in desk Sarah when I asked for a spare key for my room assumed it was for a gentleman she said I will leave the key downstairs for your gentleman friend when it was for my friend who is a woman I felt it was disrespectful making assumptions that women that come to hotels are booking for gentleman friends 2 The carpets were not very clean in the room  The location,Bad_review
54 54 Upper Berkeley Street Westminster Borough London W1H 7QR UK,12/1/2016,8.5,The Sumner Hotel, Israel ,762,3,5.8, We were misled by the rave reviews we read and the description of the hotel as luxurious and designer decorated The room was small The mattresses were soft and uncomfortable There was a tiny wardrobe no shelves or drawers We lived out of our suitcases for which there wasn t really room for 4 days The room had ironing facilities but no kettle The bathroom was also very small with a tiny shelf  The location was great The staff were helpful The room contained fridge ,Bad_review
10 10 Godliman Street City of London London EC4V 5AJ UK,10/12/2016,8.5,Grange St Paul s Hotel, United Kingdom ,2635,3,6.7, Checking time and check out time Location,Bad_review
35 35 Ixworth Place Kensington and Chelsea London SW3 3QX UK,9/20/2015,8.2,My Chelsea, United Kingdom ,1003,2,6.7, Wifi did not work in room and Tanya Cafe closed for a private function Comfortable bed and good location,Bad_review
Paseo Paseo Taulat 278 Sant Mart 08019 Barcelona Spain,9/15/2015,8.1,AC Hotel Barcelona Forum a Marriott Lifestyle Hotel, United Kingdom ,1560,2,6.3, Room facilities barely adequate no tea or coffee no bath robe or slippers to use for swimming etc choice of English tv stations very limited and no shelf space for clothing The menu displayed outside was not available in the hotel and the only food available at night was in the pool caf which was extremely basic The cooked breakfast was also limited with only ever scrambled egg rather than fried poached etc  Good view nice pool area friendly staff reasonably close to the beach and quite easy to get to the city centre,Bad_review
222 222 Marylebone Road Westminster Borough London NW1 6JQ UK,10/8/2016,9.0,Landmark London, India ,1062,1,6.3, Air con did not work in the atrium suite and nothing could be done about it at midnight Location and breakfast,Bad_review
372 372 Strand Westminster Borough London WC2R 0JJ UK,2/23/2016,8.1,Strand Palace Hotel, United Kingdom ,9568,2,2.9, Booking in staff told us it was an excellent room window view of a dirty courtyard looking into other hotel rooms and the room right opposite 3 lifts is not an excellent room a slow bar tender taking forever to serve 1 small drink would rather chat to his work colleagues than focus on his job description Thanks for the fire alarm going in the early hours of Monday morning  location,Bad_review
Rambla Rambla del Raval 17 21 Ciutat Vella 08001 Barcelona Spain,6/16/2016,8.4,Barcel Raval, United Kingdom ,2254,5,3.3, Staff was meh At best Room was hot even with acon blasting Cleaners did poor job and my feet were always dirty Breakfast was horrible tasting and all cold Many items were empty and I was there at 8 30am Staff at bar 360 were not friendly to me although Daniel and Albert I think that was their names waited on pretty females first with a seeming good attitude and let the men stand there Oh yes they were often they were rude when they finally had to wait on us Female staff did even really try to pretend to be nice to anyone FYI not the best part of the city Lots of hookers  The roof top terrace had an excellent view of Barcelona,Bad_review
55 55 61 Westbourne Terrace Westminster Borough London W2 3UY UK,9/13/2016,7.3,Shaftesbury Premier London Paddington, Australia ,3609,1,6.7, I didn t stay here they switched me to the one across the road Park Grand London Hyde Park I wasn t too fussed but I could see that annoying some They re under the same umbrella though Shaftesbury I stayed a few weeks folks and it s a 5 min walk from Paddington station so I was thinking good base and it s so easy to get to I stayed in a deluxe single room now yes it s small but I m not a big person so it was fine for me Bed was comfy and the TV was in a good spot on the wall opposite Bathroom is tinyyyyy the shower is very narrow but great pressure I grew used to it but ended up leaving the bathroom door open every time I showered just me so it didn t matter Criticism would be no shelf for your toiletries there is one directly above the toilet but that s just odd There s no iron or hairdresser in the room and the bar fridge concealed in the desk isn t plugged in The lifts didn t go to my room so it was up two very narrow staircases to it The porter took my case up and down upon check out as it was 25kg and I would ve struggled Put bluntly a massive unit wouldn t do so well in a single room from my understanding the rooms aren t that big anyway but maybe pick a double incase There was room for my suitcase near the desk and I just shoved any shopping or my backpack in front of the window The doors are so loud when they shut Only annoyed me on my last two nights due to new next door neighbours constantly slamming theirs at night The corridors smelt a bit musty but it s an old hotel done up not too badly Overall it wasn t too bad I could see people bulking at the size it is essentially a biggish shoe box but was still doable when I was able to catch up with my man for a few hours haha It ain t 4 stars though No way But hardly a hovel  Comfy bed Good tv Staff made up rooms every day and always replaced linen Porters very helpful So close to Paddington station Hyde Park Kensington Gardens I even walked to Harrods in Knightsbridge Air con unit right above your bed good if you like a fan noise to fall asleep useful in blocking out neighbouring noise ,Bad_review
Rennweg Rennweg 12a 03 Landstra e 1030 Vienna Austria,6/14/2016,8.4,NH Wien Belvedere, South Korea ,1191,1,5.0, refrezer was not working,Bad_review
Westminster Westminster Bridge Road Lambeth London SE1 7UT UK,11/15/2016,8.7,Park Plaza Westminster Bridge London, Denmark ,12158,1,5.8, Rooms where dark Reading light which you wanted to turn on if you went to the toilet in the night on the other hand was totally blinding Redesign the room lightening  The breakfast was totally disorganized The staff worked hard but nobody see med to have an overvej The redhaired manager seemed to be shouting at her employees rather than helping them Staff in the entrance see med more fokused on checken names than following up on whethe someone else took you to a table If you were alone or a couple you were in most cases seated at the tables along the sofa When you sat there you were at least 20 cm lower than the person in front of you Get rid of those sofas They are terrible to sit at ,Bad_review
Euston Euston Road Camden London NW1 2AR UK,1/3/2016,8.8,St Pancras Renaissance Hotel London, United Kingdom ,2058,7,5.0, It is not 5 star only just 4 The Butler promised didn t materialise room service was slow the Chambers Lounge is somewhere between a British Rail lounge and a second rate airport business class facility Paintings chosen for the suite were absolutely appalling and the Lillies chosen to refresh the the room were the type you get from Tesco As I said not even close to 5 stars The staff try hard but unfortunately I don t believe they know what 5 star looks like The whole experience is in another and inferior league Given the price tag this was a highly unsatisfactory choice  The staircase,Bad_review
4 4 Boulevard Raspail 7th arr 75007 Paris France,11/26/2016,8.4,K K H tel Cayr Saint Germain des Pr s, Russia ,1431,10,6.7, I was in this hotel two nights Nobody clean my room during my stay ,Bad_review
10a 10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL UK,1/25/2016,8.7,Holiday Inn London Stratford City, United Kingdom ,2130,23,5.4, Bar smelled of old chip oil I guess cooking the bar menu so close leaks out really off putting The red house wine was atrocious Not an atmosphere that encourages you to sit and spend money Lucky in Reception was a star an absolute delight Price is too high for a Holiday Inn although I know the location is good for shopping most of us travelling were for work and the DLR is not central to anything,Bad_review
2 2 Montagu Place Westminster Borough London W1H 2ER UK,5/7/2017,9.1,Montagu Place Hotel, Kuwait ,287,5,6.7, there is no elevator in the property size of the room is bigger that other hotels,Bad_review
Cardington Cardington Street Euston Camden London NW1 2LP UK,4/21/2016,8.3,Thistle Euston, United Kingdom ,2474,1,4.6, The room was freezing cold but as I only arrived in it after midnight after a long and arduous check in process as our short notice bookings had not been efficiently transferred across by booking com I didn t have either the time or inclination to work out how to operate the heating Bed and pillows were remarkably uncomfortable but again too late to do anything about it Left before breakfast to get early train  nothing at all ,Bad_review
163 163 Marsh Wall Docklands Tower Hamlets London E14 9SJ UK,12/12/2015,7.1,Britannia International Hotel Canary Wharf, United Kingdom ,9086,3,3.8, The hotel is in dire need of renovation My room was shabby and the carpet dirty The bathroom was in a very poor state and the shower woefully inadequate The bed was uncomfortable in the extreme and every spring could be felt through the mattress The walls were paper thin and the noise from the DLR despite the room being on the 11th floor was unbearable making sleep impossible while the trains were running Unsurprisingly the staff didn t ask if everything was alright with my stay  Convenient location ,Bad_review
De De Boelelaan 2 Zuideramstel 1083 HJ Amsterdam Netherlands,7/12/2016,7.7,Holiday Inn Amsterdam, United Kingdom ,1485,1,5.8, The room we got did not match the room shown on the picture on website  Breakfast was good ,Bad_review
163 163 Marsh Wall Docklands Tower Hamlets London E14 9SJ UK,8/18/2016,7.1,Britannia International Hotel Canary Wharf, Germany ,9086,3,3.3, Staff unfriendly and let people wait a long time for check in Big building site next door with a lot of noise and pollution ,Bad_review
5 5 7 Princes Square Kensington and Chelsea London W2 4NP UK,6/19/2016,7.3,The Premier Notting Hill, United Kingdom ,2215,2,4.2, The bed was horrible the room was far too hot even with air con on Hotel manager quite scary  The area was ok ,Bad_review
75 75 Gower Street Camden London WC1E 6HJ UK,10/21/2016,6.4,Hotel Cavendish, United Kingdom ,2275,2,5.0, For 95 I expected at least a wardrobe It was detailed as a cabin room but small size not stated Got upgrade ok but others need to be aware of this in room description,Bad_review
2 2 Stanhope Row Park Lane Westminster Borough London W1J 7BS UK,4/21/2016,7.0,Park Lane Mews Hotel, United Kingdom ,2061,9,5.0, The hotel feels tired and needs a makeover,Bad_review
Cadogan Cadogan Place Kensington and Chelsea London SW1X 9PY UK,12/5/2016,8.6,Jumeirah Carlton Tower, Greece ,265,20,6.3, Indifferent breakfast and amenities for this price Didn t allow late checkout Small rooms for this price per night 700 Nothing extra ,Bad_review
39 39 Buckingham Palace Road Westminster Borough London SW1W 0PS UK,2/28/2016,8.7,Rubens At The Palace, United Kingdom ,1449,12,5.8, Bit outdated and run down in places Comfortable bed,Bad_review
2 2 place Louis Armand 12th arr 75012 Paris France,7/19/2016,7.9,Mercure Paris Gare De Lyon TGV, France ,2903,4,5.8, We asked for a quiet room in the booking They gave us one on the street side very noisy Even more irritating was the poor air conditioning In the middle of our second night it failed completely We had to pack everything and move to another room at 1AM The desk offered no help in the move At least there was another room available where the AC worked ,Bad_review
South South Quay Marsh Wall Tower Hamlets London E14 9SH UK,9/15/2016,9.0,Hilton London Canary Wharf, United Kingdom ,3040,4,5.0, Payment car park uncomfortable beds tough to find and Tray service at 5 an order which is a disgrace  Fast lifts large rooms and large to ,Bad_review
29 29 Avenue De Tourville 7th arr 75007 Paris France,7/17/2016,9.0,H tel La Comtesse by Elegancia, India ,363,3,6.3, Room size was not mentioned in the booking com site rooms are very small Hotel was good but it was very expensive i should not be more than 100 euros per night,Bad_review
64 64 76 Hendon Way London NW2 2NL UK,3/9/2017,7.9,Best Western Palm Hotel, United Kingdom ,2037,2,3.3, A lot of things cleanliness was not great service at reception wasn t great Constant noise though the whole night even when changing rooms and the bed was terrible Parking was not great they had sky,Bad_review
55 55 61 Westbourne Terrace Westminster Borough London W2 3UY UK,1/10/2017,7.3,Shaftesbury Premier London Paddington, United Kingdom ,3609,1,4.2, Tap dripped in the bath not fixed during our stay Light switch for the bathroom in strange place,Bad_review
21 21 Gower Street Camden London WC1E 6HG UK,9/28/2016,7.8,The Academy, United Kingdom ,612,2,3.8, Room service took over half an hour to tell us they didn t have what we wanted Then another half an hour to get a dried up sandwich no butter on the bread No phone in room had to keep walking to reception Room blind fell down nearly injured my husband took nearly a hour to sort the end night guy was not a maintenence man He gave my husband a duvet to cover the window No apologies can we move you The continental breakfast was terrible dry cheese and ham hard rolls cereal not a good selection Fruit juices nearly run out and tasteless Tea and coffee the most cheapest brands on the market The housekeeping on the room was terrible The fridge was filthy the bottles not wiped round The glass all stained The bath panel thick layer of dust the carpet holey Dust on ledges The list can go on For the price we paid it did not meet a 4 star standard  Only used as it was convenient to where we needed to be ,Bad_review
Leeuwendalersweg Leeuwendalersweg 21 Bos en Lommer 1055 JE Amsterdam Netherlands,8/23/2015,7.4,Best Western Blue Tower Hotel, United Kingdom ,3869,1,5.8, The hotel has lost its alcohol licence so there is no bar We had to go to the local shop to buy a bottle of wine and then sit in our room Our quadruple room could have done with a good clean as It was very dusty and there were many marks on the carpet Also the air conditioning didn t work The restaurant had a limited menu and ran out of vegetarian options  Good position for public transport to Amsterdam centre Had a secure car park next door Our quadruple room was spacious and comfortable,Bad_review
57 57 59 Welbeck Street Westminster Borough London W1G 9BL UK,7/10/2016,7.5,Holiday Inn London Oxford Circus, Saudi Arabia ,1287,3,2.5, Every things Not Good at all All bad never recommend to human,Bad_review
7 7 9 Rue Pierre Chausson 10th arr 75010 Paris France,9/13/2016,8.8,9Hotel Republique, Switzerland ,857,11,5.0, Very small rooms without minibar there is no restaurante either in the hotel so if you need something to eat it can be complicated unless you go out  Wi Fi worked very well ,Bad_review
8 8 Rue Francois 1Er 8th arr 75008 Paris France,1/12/2016,8.4,Residence Du Roy, Thailand ,970,4,5.8, With room I booking should have good view on the street Perfect location close to Metro viste place ,Bad_review
39 39 Buckingham Palace Road Westminster Borough London SW1W 0PS UK,1/19/2016,8.7,Rubens At The Palace, United Kingdom ,1449,6,6.7, The size of the room surprised that they can look you in the eye and charge you 186 per night for a room where you cannot pass each other at the end of the bed Decor throughout is all rather jaded and tired looking Stain on the carpet outside the bathroom door  Staff are all super friendly and helpful Breakfast was lovely eggs cooked freshly to order and a large choice of hot cold food They called to ask us if the room was OK and were willing to look into moving us however we were delayed arriving and would have been late for the theatre had we accepted the offer ,Bad_review
Petersplatz Petersplatz 9 01 Innere Stadt 1010 Vienna Austria,7/15/2016,8.5,Hotel Wandl, Oman ,1799,7,5.8, Too expensive Room too small The shower,Bad_review
Vijzelstraat Vijzelstraat 4 Amsterdam City Center 1017 HK Amsterdam Netherlands,4/9/2016,7.0,NH Carlton Amsterdam, United Kingdom ,4231,2,4.6, The bedrooms were appalling This should not be 4 star hotel The rooms were very shabby small and not very clean  The public rooms were fine ,Bad_review
Via Via Galileo Galilei 2 Central Station 20124 Milan Italy,5/26/2016,8.5,Windsor Hotel Milano, United States of America ,2601,1,6.7, Small room No hot water warm only Breakfast buffet food wasn t replenished  Breakfast buffet if you show up early ,Bad_review
Strand Strand Westminster Borough London WC2R 0EU UK,11/28/2015,9.4,The Savoy, United Kingdom ,1021,1,6.7, The decor and atmosphere The room,Bad_review
Coopers Coopers Row City of London London EC3N 2BQ UK,12/12/2016,8.7,Grange City Hotel, United Kingdom ,872,1,6.3, Staff could of assisted with bags and pushchair as no access Bathroom looked tired and carpet needed a hoover Changing rooms needed doing up Nice size room comfy bed all amenities Spa facilities good,Bad_review
Rembrandtplein Rembrandtplein 26 36 Amsterdam City Center 1017 CV Amsterdam Netherlands,3/4/2016,7.7,NH Amsterdam Schiller, Oman ,1667,7,5.0, They wrongly book for us 2 rooms and we asked for 3 rooms they fix it later on Location,Bad_review
Viale Viale Sarca 336 Bicocca Zara 20125 Milan Italy,9/27/2015,8.3,Hotel degli Arcimboldi, Israel ,10842,44,4.6, room so small it s either you or your suitcases Air conditioning makes some noise but no cool air the same in two rooms the first wad changed because toilet flashing and safety deposit box did not work Clean and modern,Bad_review
40 40 trinity square City of London London EC3N 4DJ UK,3/23/2017,9.1,citizenM Tower of London, India ,4672,1,6.3, tea coffee maker in the room Some Hot breakfast needs to be there for Asian travellers,Bad_review
18 18 21 Charterhouse Square Islington London EC1M 6AH UK,6/28/2016,8.7,Malmaison London, United Kingdom ,1374,4,4.6, Bathroom not as good as I thought it would be waste in wash basin did not flow away The bed was so comfy,Bad_review
Epping Epping Forest 30 Oak Hill London IG8 9NY UK,2/22/2017,7.5,Best Western PLUS Epping Forest, United Kingdom ,587,1,5.8, I did not appreciate that on arrival I saw a member of staff catch a rat under some wooden ramp over steps to rooms in foyer and stamp on the rats head I was horrified It was brutal and sheer cruelty as he repeatedly stamped on the rat ,Bad_review
Putget Putget 68 Sarri St Gervasi 08023 Barcelona Spain,8/11/2016,7.4,Catalonia Park Putxet, Lebanon ,3590,2,5.8, Noisy cleaning staff The payment is at the check in  Value for money is good ,Bad_review
44 44 Grosvenor Square Westminster Borough London W1K 2HP UK,11/26/2016,7.8,Millennium Hotel London Mayfair, United Kingdom ,3117,4,5.0, Room a bit tired but clean Location,Bad_review
2 2 Stanhope Row Park Lane Westminster Borough London W1J 7BS UK,12/28/2016,7.0,Park Lane Mews Hotel, United Arab Emirates ,2061,15,4.2, Rooms were horrible There was no study table in the room Lobby area wasnt nice staff was very friendly ,Bad_review
Holland Holland Park Avenue Kensington and Chelsea London W11 4UL UK,7/3/2017,7.8,Hilton London Kensington Hotel, United Kingdom ,3801,2,6.7, The breakfast was really poor tasteless Would advise against for the 20 they charge you ,Bad_review
Pla Pla a Urquinaona 2 Eixample 08010 Barcelona Spain,9/3/2015,9.1,H10 Urquinaona Plaza, United Kingdom ,1875,1,5.8, I was awoken everyday by the cleaners and then kept awake by the noise from them in the corridor outside my room Also I was forced to pay for breakfast saying the room did not come without breakfast I had no intention of using this the only reason I went down on my last day was because I had paid for it ,Bad_review
17 17 25 Sloane Street Knightsbridge Kensington and Chelsea London SW1X 9NU UK,12/13/2016,7.5,Millennium Hotel London Knightsbridge, Qatar ,2746,19,2.9, THE ELECTRIC POWER STOP MORE THAN 4 HOURS IN THE NIGHT NOTHING,Bad_review
3 3 5 rue du Mont Thabor 1st arr 75001 Paris France,4/29/2017,8.2,Hotel Duminy Vendome, United Kingdom ,769,1,6.7, Noise through the walls and lack of available lifts Location,Bad_review
Coram Coram Street Camden London WC1N 1HT UK,11/8/2015,8.2,Holiday Inn London Bloomsbury, United Kingdom ,2995,32,5.4, Very small room for an executive room at over 200 per night No better than travel lodge at less than 100 per night Very limited menu in restaurant Location close to theatre land short cab 15 or bus ride 6,Bad_review
Cardenal Cardenal Reig 11 Les Corts 08028 Barcelona Spain,8/3/2017,7.7,Senator Barcelona Spa Hotel, France ,3097,4,5.8, The pool is tiny and if the hotel is fairly full you will not get a sunbed  The location was good with authentic restaurants nearby,Bad_review
27 27 Devonshire Terrace Westminster Borough London W2 3DP UK,7/21/2016,8.1,Park Grand Paddington Court, Lebanon ,6608,1,5.8, The room is tiny and cramped I was charged more rentals than the other customers who were doing reservation on the counter on the day of my arrival and with lesser rental amount the guests were being provided breakfast too I kind of felt cheated there  cleanliness and the comfort of the bed,Bad_review
372 372 Strand Westminster Borough London WC2R 0JJ UK,2/7/2016,8.1,Strand Palace Hotel, United Kingdom ,9568,8,5.8, The small room is really really small Not sound proof at all I could hear everything from the next room including someone snoring and people walking up and down the corridor The toilet is almost obstructing the panel door of the shower cubicle and it would be very difficult for an obese person  the location was good,Bad_review
Nieuwezijds Nieuwezijds Voorburgwal 67 Amsterdam City Center 1012 RE Amsterdam Netherlands,6/11/2016,8.9,INK Hotel Amsterdam MGallery by Sofitel, United Kingdom ,2574,3,6.3, They need to be more specific in what s complimentary and what s not I also paid for two nights for a superior King room To me it just looked like a double room There was nothing superior about it I might as well have saved my money and gone for a double room  The design and decor of the building was gorgeous The staff were friendly Due to it being my partners birthday we received a glass of wine however this wasn t made clear to us that it was free until we asked ,Bad_review
628 628 Western Avenue London W3 0TA UK,6/27/2017,8.9,Park Plaza London Park Royal, United Kingdom ,425,1,5.8, A little business like and very modern sharp to feel cosy especially for a couple romantic getaway No bath in bathroom Not enough tea coffee milk provided Not happy with breakfast would prefer waitress service a bit like a rugby scrum when we went down on Sunday morning queues no tables Found it difficult to find things toast took ages and the breakfast items did look taste like something from a cheap cafe  The new clean feeling of the hotel Friendly helpful reception staff ,Bad_review
31 31 Great Cumberland Place Westminster Borough London W1H 7TA UK,8/6/2015,8.1,The Marble Arch London, United Kingdom ,1567,36,6.7, Unfriendly staff and overpriced  Comfortable room but was in the basement ,Bad_review
104 104 Bayswater Rd Westminster Borough London W2 3HL UK,11/10/2015,8.2,Thistle Kensington Gardens, United Kingdom ,2134,2,6.3, Bed not very comfortable and there were problems using the WiFi  Nice room and good breakfast Staff friendly and hotel easy to get to ,Bad_review
Karl Karl Popper Stra e 22 10 Favoriten 1100 Vienna Austria,6/26/2016,8.8,Hotel Schani Wien, India ,2464,8,5.0, Staff could be much more polite In the room for 3 the double bed is accessible through rack stairs which can be cumbersome  The location suits those who want to be near the main railway station ,Bad_review
Westminster Westminster Bridge Road Lambeth London SE1 7UT UK,8/25/2015,8.7,Park Plaza Westminster Bridge London, Switzerland ,12158,3,6.7, Not enough staff queues every day for check in out Not enough bar staff to serve No restaurant only Japanese  Facilities are good except for lack of restaurant during my stay,Bad_review
34 34 Norfolk Place Paddington Westminster Borough London W2 1QW UK,9/5/2015,7.9,Norfolk Towers Paddington, Australia ,4065,1,5.8, Small Smelly and small,Bad_review
Herrengasse Herrengasse 12 01 Innere Stadt 1010 Vienna Austria,10/16/2016,8.4,Radisson Blu Style Hotel Vienna, Spain ,1189,1,6.7, TV is too small Insufficient drawers in room No place for suitcases Don t like Nespresso Choice of teas was peppermint or red berries in room No bathrobes no shower cap and impossible to get soap out of wrapping  Extra long bed Looks of the hotel and room ,Bad_review
20 20 Pembridge Gardens Kensington and Chelsea London W2 4DU UK,1/12/2017,7.8,The Abbey Court Notting Hill, United Kingdom ,322,1,4.2, This establishment can in no way be considered anywhere near four star standard Tired dated shabby at best it s two star standard Charging the rates it does its a rip off ,Bad_review
Damrak Damrak 1 5 Amsterdam City Center 1012 LG Amsterdam Netherlands,2/11/2017,8.0,Park Plaza Victoria Amsterdam, United Kingdom ,4820,1,2.5, Staff were rude No service Room was disgusting You need to change the rating on your site This hotel needs to be demolished It is the worst hotel I ve ever visited in my entire life Take this off booking com  Nothing,Bad_review
29 29 31 Gower Street Camden London WC1E 6HG UK,3/11/2017,6.8,Bloomsbury Palace Hotel, United Kingdom ,2751,3,5.8, Grubby in public areas Collected quite a few insect bites ,Bad_review
15 15 Cromwell Place Kensington and Chelsea London SW7 2LA UK,7/31/2016,8.6,The Pelham Starhotels Collezione, India ,833,6,5.4, Booked a other room but was given a very small one Don t know who is to blame Bookings com or the hotel,Bad_review
Great Great Cumberland Place Westminster Borough London W1H 7DL UK,2/11/2016,7.5,The Cumberland A Guoman Hotel, Switzerland ,5180,1,5.4, Lobby bar very noisy and not welcoming,Bad_review
75 75 Gower Street Camden London WC1E 6HJ UK,12/9/2016,6.4,Hotel Cavendish, United Kingdom ,2275,1,3.8, Bedroom was above the breakfast area the stench of egg for the whole 3x days ruined the experience I booked the room on booking com but emailed the hotel as instructed by the front desk to request that they charge the credit card given to take my email as authorisation This was ignored and resulted in the guests paying out of their own pocket which was not my request ,Bad_review
Scarsdale Scarsdale Place Kensington Kensington and Chelsea London W8 5SY UK,8/30/2016,8.1,Copthorne Tara Hotel London Kensington, United Kingdom ,7105,3,6.3, Booked double bed They gave us a twinbed Had to sleep seperately The key cards did not work in the lift Staff need better training ,Bad_review
Rusland Rusland 17 Amsterdam City Center 1012 CK Amsterdam Netherlands,11/14/2015,8.6,Radisson Blu Hotel Amsterdam, Ireland ,4593,1,6.3, Hotel incorrectly pre authorised my debit card for 900 taking funds from my account When paying the bill funds taken from my account could not be used to settle the bill meaning we had to pay the bill twice Took a week for funds to be refunded to my account Completely unacceptable  Location was good ,Bad_review
Rusland Rusland 17 Amsterdam City Center 1012 CK Amsterdam Netherlands,4/19/2017,8.6,Radisson Blu Hotel Amsterdam, United Kingdom ,4593,2,6.3, Staff helpful at breakfast and had to wait to get served Nice hotel building good location,Bad_review
Cardington Cardington Street Euston Camden London NW1 2LP UK,5/3/2017,8.3,Thistle Euston, United Kingdom ,2474,2,4.2, My sons bed had marks all over its sheet and duvet cover After returning late he has to sleep on top of a towel When I pointed this out to staff I was given a business card for a possible upgrade if I visit again Disgusting  Location and shower ,Bad_review
